"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Mar-09-2018)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Entire Network,FluSurv-NET,2017-18,2018,8,50-64 yr,91.3,5.1
Entire Network,FluSurv-NET,2017-18,2018,9,50-64 yr,93.6,2.4
Entire Network,FluSurv-NET,2017-18,2017,40,65+ yr,0.5,0.5
Entire Network,FluSurv-NET,2017-18,2017,41,65+ yr,1,0.5
Entire Network,FluSurv-NET,2017-18,2017,42,65+ yr,2.1,1.1
Entire Network,FluSurv-NET,2017-18,2017,43,65+ yr,3,0.9
Entire Network,FluSurv-NET,2017-18,2017,44,65+ yr,3.9,0.9
Entire Network,FluSurv-NET,2017-18,2017,45,65+ yr,5.1,1.2
Entire Network,FluSurv-NET,2017-18,2017,46,65+ yr,6.7,1.5
Entire Network,FluSurv-NET,2017-18,2017,47,65+ yr,9.4,2.7
Entire Network,FluSurv-NET,2017-18,2017,48,65+ yr,14.6,5.2
Entire Network,FluSurv-NET,2017-18,2017,49,65+ yr,20.7,6.2
Entire Network,FluSurv-NET,2017-18,2017,50,65+ yr,30.5,9.8
Entire Network,FluSurv-NET,2017-18,2017,51,65+ yr,50.6,20.1
Entire Network,FluSurv-NET,2017-18,2017,52,65+ yr,90.6,40
Entire Network,FluSurv-NET,2017-18,2018,1,65+ yr,139.6,49
Entire Network,FluSurv-NET,2017-18,2018,2,65+ yr,183.2,43.6
Entire Network,FluSurv-NET,2017-18,2018,3,65+ yr,223.2,40
Entire Network,FluSurv-NET,2017-18,2018,4,65+ yr,260.5,37.3
Entire Network,FluSurv-NET,2017-18,2018,5,65+ yr,292.4,31.9
Entire Network,FluSurv-NET,2017-18,2018,6,65+ yr,317.6,25.2
Entire Network,FluSurv-NET,2017-18,2018,7,65+ yr,341.6,24
Entire Network,FluSurv-NET,2017-18,2018,8,65+ yr,361.5,19.9
Entire Network,FluSurv-NET,2017-18,2018,9,65+ yr,370.6,9.1

Disclaimer:
The Influenza Hospitalization Surveillance Network (FluSurv-NET) data are preliminary and subject
to change as more data become available. All incidence rates are unadjusted.  FluSurv-NET conducts
population-based surveillance for laboratory-confirmed influenza related hospitalizations in
children <18 years of age (since 2003-2004 influenza season) and adults (since 2005-2006 influenza
season).  The FluSurv-NET covers over 70 counties in the 10 Emerging Infections Program (EIP)
"states (CA, CO, CT, GA, MD, MN, NM, NY, OR, TN) and additional Influenza Hospitalization"
Surveillance Project (IHSP) states.   The IHSP began during the 2009-2010 season to enhance
"surveillance during the 2009 H1N1 pandemic.  IHSP sites included IA, ID, MI, OK and SD during"
"2009-2010 season; ID, MI, OH, OK, RI, and UT during the 2010-2011 season; MI, OH, RI, and UT during"
"the 2011-2012 season; IA, MI, OH, RI, and UT during the 2012-2013 season; and MI, OH, and UT during"
"the 2013-2014 , 2014-2015 and 2015-2016 seasons.  Cumulative and weekly unadjusted incidence rates"
"(per 100,000 population) are calculated using the National Center for Health Statistics' (NCHS)"
population estimates for the counties included in the surveillance catchment area.  The rates
"provided are likely to be underestimated as influenza-related hospitalizations can be missed,"
"either because testing is not performed, or because cases may be attributed to other causes of"
pneumonia or other common influenza-related complications.
